276 covert files
ok sub-13/nirs/sub-13_task-covert_run-02_recording-eyetracking_physio.tsv 14453726
ok sub-14/nirs/sub-14_task-covert_run-02_events.tsv 1017
ok sub-14/nirs/sub-14_task-covert_run-02_nirs.json 373
ok sub-14/nirs/sub-14_task-covert_run-02_recording-eyetracking_physio.json 392
ok sub-14/nirs/sub-14_task-covert_run-01_recording-eyetracking_physio.tsv 15490634
ok sub-15/nirs/sub-15_task-covert_run-01_events.tsv 1013
ok sub-10/nirs/sub-10_task-covert_run-01_nirs.snirf 177189392
ok sub-15/nirs/sub-15_task-covert_run-01_nirs.json 372
ok sub-14/nirs/sub-14_task-covert_run-02_recording-eyetracking_physio.tsv 15054016
ok sub-15/nirs/sub-15_task-covert_run-01_recording-eyetracking_physio.json 393
ok sub-15/nirs/sub-15_task-covert_run-02_events.tsv 1006
ok sub-15/nirs/sub-15_task-covert_run-01_recording-eyetracking_physio.tsv 13785171
ok sub-15/nirs/sub-15_task-covert_run-02_nirs.json 373
ok sub-15/nirs/sub-15_task-covert_run-02_recording-eyetracking_physio.json 393
ok sub-13/nirs/sub-13_task-covert_run-02_nirs.snirf 186941792
ok sub-14/nirs/sub-14_task-covert_run-01_nirs.snirf 186034592
ok sub-18/nirs/sub-18_task-covert_run-01_events.tsv 1015
ok sub-18/nirs/sub-18_task-covert_run-01_nirs.json 372
ok sub-18/nirs/sub-18_task-covert_run-01_recording-eyetracking_physio.json 393
ok sub-15/nirs/sub-15_task-covert_run-02_recording-eyetracking_physio.tsv 13255942
ok sub-12/nirs/sub-12_task-covert_run-02_nirs.snirf 182114192
ok sub-18/nirs/sub-18_task-covert_run-02_events.tsv 1010
ok sub-18/nirs/sub-18_task-covert_run-02_nirs.json 373
ok sub-18/nirs/sub-18_task-covert_run-02_recording-eyetracking_physio.json 392
ok sub-18/nirs/sub-18_task-covert_run-02_recording-eyetracking_physio.tsv 14566389
ok sub-20/nirs/sub-20_task-covert_run-01_events.tsv 570
ok sub-20/nirs/sub-20_task-covert_run-01_nirs.json 372
ok sub-18/nirs/sub-18_task-covert_run-01_recording-eyetracking_physio.tsv 14642936
ok sub-13/nirs/sub-13_task-covert_run-01_nirs.snirf 193194992
ok sub-14/nirs/sub-14_task-covert_run-02_nirs.snirf 181595792
ok sub-20/nirs/sub-20_task-covert_run-01_recording-eyetracking_physio.json 388
ok sub-20/nirs/sub-20_task-covert_run-02_events.tsv 742
ok sub-20/nirs/sub-20_task-covert_run-02_nirs.json 372
ok sub-20/nirs/sub-20_task-covert_run-02_recording-eyetracking_physio.json 394
ok sub-20/nirs/sub-20_task-covert_run-01_recording-eyetracking_physio.tsv 7071648
ok sub-22/nirs/sub-22_task-covert_run-01_events.tsv 1066
ok sub-20/nirs/sub-20_task-covert_run-02_recording-eyetracking_physio.tsv 6706778
ok sub-22/nirs/sub-22_task-covert_run-01_nirs.json 370
ok sub-15/nirs/sub-15_task-covert_run-02_nirs.snirf 189242192
ok sub-22/nirs/sub-22_task-covert_run-01_recording-eyetracking_physio.json 392
ok sub-22/nirs/sub-22_task-covert_run-02_events.tsv 1078
ok sub-22/nirs/sub-22_task-covert_run-02_nirs.json 371
